t_epoch,iso_time,t_elapsed_s,depth_m,depth_target_m,depth_err_m,yaw_deg,yaw_target_deg,yaw_err_deg,surge_cmd,heave_cmd,yaw_cmd,throttle_pct
1785506293.0985,2026-07-31T09:58:13.098,0.000,0.5032,0.5000,+0.0032,20.90,20.00,-0.90,+1.000,-0.346,+0.000,30.0
1785506293.1979,2026-07-31T09:58:13.198,0.100,0.5029,0.5000,+0.0029,21.01,20.00,-1.01,+1.000,-0.347,+0.000,30.0
1785506293.2976,2026-07-31T09:58:13.297,0.199,0.5035,0.5000,+0.0035,21.03,20.00,-1.03,+1.000,-0.346,+0.000,30.0
1785506293.3987,2026-07-31T09:58:13.398,0.300,0.5006,0.5000,+0.0006,20.96,20.00,-0.96,+1.000,-0.352,+0.000,30.0
1785506293.4978,2026-07-31T09:58:13.497,0.399,0.5112,0.5000,+0.0112,20.65,20.00,-0.65,+1.000,-0.330,+0.000,30.0
1785506293.5969,2026-07-31T09:58:13.596,0.499,0.5049,0.5000,+0.0049,20.50,20.00,-0.50,+1.000,-0.343,+0.000,30.0
1785506293.6977,2026-07-31T09:58:13.697,0.599,0.4727,0.5000,-0.0273,20.17,20.00,-0.17,+1.000,-0.408,+0.000,30.0
1785506293.7966,2026-07-31T09:58:13.796,0.698,0.5089,0.5000,+0.0089,20.09,20.00,-0.09,+1.000,-0.336,+0.000,30.0
1785506293.8955,2026-07-31T09:58:13.895,0.797,0.4955,0.5000,-0.0045,19.95,20.00,+0.05,+1.000,-0.363,+0.000,30.0
1785506293.9946,2026-07-31T09:58:13.994,0.896,0.5126,0.5000,+0.0126,20.14,20.00,-0.14,+1.000,-0.328,+0.000,30.0
1785506294.0935,2026-07-31T09:58:14.093,0.995,0.4988,0.5000,-0.0012,20.19,20.00,-0.19,+1.000,-0.356,+0.000,30.0
1785506294.1929,2026-07-31T09:58:14.192,1.095,0.4952,0.5000,-0.0048,20.35,20.00,-0.35,+1.000,-0.363,+0.000,30.0
1785506294.2922,2026-07-31T09:58:14.292,1.194,0.4874,0.5000,-0.0126,20.34,20.00,-0.34,+1.000,-0.379,+0.000,30.0
1785506294.3912,2026-07-31T09:58:14.391,1.293,0.4856,0.5000,-0.0144,20.31,20.00,-0.31,+1.000,-0.382,+0.000,30.0
1785506294.4909,2026-07-31T09:58:14.490,1.393,0.4656,0.5000,-0.0344,20.41,20.00,-0.41,+1.000,-0.424,+0.000,30.0
1785506294.5903,2026-07-31T09:58:14.590,1.492,0.4670,0.5000,-0.0330,20.51,20.00,-0.51,+1.000,-0.422,+0.000,30.0
1785506294.6892,2026-07-31T09:58:14.689,1.591,0.4484,0.5000,-0.0516,20.82,20.00,-0.82,+1.000,-0.461,+0.000,30.0
1785506294.7884,2026-07-31T09:58:14.788,1.690,0.4526,0.5000,-0.0474,20.95,20.00,-0.95,+1.000,-0.454,+0.000,30.0
1785506294.8872,2026-07-31T09:58:14.887,1.789,0.4543,0.5000,-0.0457,21.18,20.00,-1.18,+1.000,-0.453,+0.000,30.0
1785506294.9868,2026-07-31T09:58:14.986,1.888,0.4411,0.5000,-0.0589,21.47,20.00,-1.47,+1.000,-0.481,+0.000,30.0
1785506295.0853,2026-07-31T09:58:15.085,1.987,0.4443,0.5000,-0.0557,21.63,20.00,-1.63,+1.000,-0.477,+0.000,30.0
1785506295.1841,2026-07-31T09:58:15.184,2.086,0.4386,0.5000,-0.0614,21.99,20.00,-1.99,+1.000,-0.491,+0.000,30.0
1785506295.2836,2026-07-31T09:58:15.283,2.185,0.4525,0.5000,-0.0475,22.16,20.00,-2.16,+1.000,-0.465,+0.040,30.0
1785506295.3825,2026-07-31T09:58:15.382,2.284,0.4587,0.5000,-0.0413,22.55,20.00,-2.55,+1.000,-0.455,+0.047,30.0
1785506295.4812,2026-07-31T09:58:15.481,2.383,0.4678,0.5000,-0.0322,22.53,20.00,-2.53,+1.000,-0.438,+0.048,30.0
1785506295.5806,2026-07-31T09:58:15.580,2.482,0.4571,0.5000,-0.0429,22.40,20.00,-2.40,+1.000,-0.461,+0.047,30.0
1785506295.6790,2026-07-31T09:58:15.679,2.581,0.4758,0.5000,-0.0242,21.98,20.00,-1.98,+1.000,-0.424,+0.000,30.0
1785506295.7785,2026-07-31T09:58:15.778,2.680,0.4716,0.5000,-0.0284,21.68,20.00,-1.68,+1.000,-0.434,+0.000,30.0
1785506295.8773,2026-07-31T09:58:15.877,2.779,0.4891,0.5000,-0.0109,21.35,20.00,-1.35,+1.000,-0.399,+0.000,30.0
1785506295.9760,2026-07-31T09:58:15.976,2.878,0.4964,0.5000,-0.0036,21.20,20.00,-1.20,+1.000,-0.384,+0.000,30.0
1785506296.0766,2026-07-31T09:58:16.076,2.978,0.5161,0.5000,+0.0161,20.96,20.00,-0.96,+1.000,-0.345,+0.000,30.0
1785506296.1758,2026-07-31T09:58:16.175,3.077,0.5242,0.5000,+0.0242,20.90,20.00,-0.90,+1.000,-0.328,+0.000,30.0
1785506296.2748,2026-07-31T09:58:16.274,3.176,0.5278,0.5000,+0.0278,20.79,20.00,-0.79,+1.000,-0.320,+0.000,30.0
1785506296.3740,2026-07-31T09:58:16.374,3.276,0.5524,0.5000,+0.0524,20.72,20.00,-0.72,+1.000,-0.269,+0.000,30.0
1785506296.4736,2026-07-31T09:58:16.473,3.375,0.5696,0.5000,+0.0696,20.76,20.00,-0.76,+1.000,-0.232,+0.000,30.0
1785506296.5730,2026-07-31T09:58:16.573,3.475,0.5669,0.5000,+0.0669,20.78,20.00,-0.78,+1.000,-0.235,+0.000,30.0
1785506296.6721,2026-07-31T09:58:16.672,3.574,0.5854,0.5000,+0.0854,20.73,20.00,-0.73,+1.000,-0.194,+0.000,30.0
1785506296.7722,2026-07-31T09:58:16.772,3.674,0.5921,0.5000,+0.0921,20.70,20.00,-0.70,+1.000,-0.177,+0.000,30.0
1785506296.8712,2026-07-31T09:58:16.871,3.773,0.6000,0.5000,+0.1000,20.54,20.00,-0.54,+1.000,-0.158,+0.000,30.0
1785506296.9710,2026-07-31T09:58:16.971,3.873,0.6166,0.5000,+0.1166,20.47,20.00,-0.47,+1.000,-0.120,+0.000,30.0
1785506297.0706,2026-07-31T09:58:17.070,3.972,0.6275,0.5000,+0.1275,20.42,20.00,-0.42,+1.000,-0.094,+0.000,30.0
1785506297.1692,2026-07-31T09:58:17.169,4.071,0.6388,0.5000,+0.1388,20.32,20.00,-0.32,+1.000,-0.066,+0.000,30.0
1785506297.2679,2026-07-31T09:58:17.268,4.170,0.6443,0.5000,+0.1443,20.30,20.00,-0.30,+1.000,-0.049,+0.000,30.0
1785506297.3672,2026-07-31T09:58:17.367,4.269,0.6514,0.5000,+0.1514,20.30,20.00,-0.30,+1.000,-0.029,+0.000,30.0
1785506297.4670,2026-07-31T09:58:17.467,4.369,0.6611,0.5000,+0.1611,20.26,20.00,-0.26,+1.000,-0.003,+0.000,30.0
1785506297.5655,2026-07-31T09:58:17.565,4.467,0.6682,0.5000,+0.1682,20.23,20.00,-0.23,+1.000,+0.017,+0.000,30.0
1785506297.6644,2026-07-31T09:58:17.664,4.566,0.6809,0.5000,+0.1809,20.20,20.00,-0.20,+1.000,+0.050,+0.000,30.0
1785506297.7638,2026-07-31T09:58:17.763,4.665,0.6839,0.5000,+0.1839,20.23,20.00,-0.23,+1.000,+0.063,+0.000,30.0
1785506297.8623,2026-07-31T09:58:17.862,4.764,0.6945,0.5000,+0.1945,20.32,20.00,-0.32,+1.000,+0.092,+0.000,30.0
1785506297.9621,2026-07-31T09:58:17.962,4.864,0.7035,0.5000,+0.2035,20.34,20.00,-0.34,+1.000,+0.118,+0.000,30.0
1785506298.0614,2026-07-31T09:58:18.061,4.963,0.7043,0.5000,+0.2043,20.31,20.00,-0.31,+1.000,+0.127,+0.000,30.0
1785506298.1617,2026-07-31T09:58:18.161,5.063,0.7073,0.5000,+0.2073,20.37,20.00,-0.37,+1.000,+0.142,+0.000,30.0
1785506298.2607,2026-07-31T09:58:18.260,5.162,0.7105,0.5000,+0.2105,20.41,20.00,-0.41,+1.000,+0.156,+0.000,30.0
1785506298.3595,2026-07-31T09:58:18.359,5.261,0.7173,0.5000,+0.2173,20.45,20.00,-0.45,+1.000,+0.178,+0.000,30.0
1785506298.4590,2026-07-31T09:58:18.459,5.361,0.7238,0.5000,+0.2238,20.52,20.00,-0.52,+1.000,+0.200,+0.000,30.0
1785506298.5579,2026-07-31T09:58:18.557,5.460,0.7239,0.5000,+0.2239,20.76,20.00,-0.76,+1.000,+0.209,+0.000,30.0
1785506298.6572,2026-07-31T09:58:18.657,5.559,0.7272,0.5000,+0.2272,20.90,20.00,-0.90,+1.000,+0.225,+0.000,30.0
1785506298.7565,2026-07-31T09:58:18.756,5.658,0.7174,0.5000,+0.2174,21.16,20.00,-1.16,+1.000,+0.214,+0.000,30.0
1785506298.8555,2026-07-31T09:58:18.855,5.757,0.7229,0.5000,+0.2229,21.45,20.00,-1.45,+1.000,+0.233,+0.000,30.0
1785506298.9560,2026-07-31T09:58:18.956,5.858,0.7168,0.5000,+0.2168,21.63,20.00,-1.63,+1.000,+0.230,+0.000,30.0
1785506299.0553,2026-07-31T09:58:19.055,5.957,0.7125,0.5000,+0.2125,21.98,20.00,-1.98,+1.000,+0.230,+0.000,30.0
