t_epoch,iso_time,t_elapsed_s,seq,tag_id,tag_distance_m,tag_under_1m,tag_count,det_seq,det_t_epoch,det_age_ms,depth_m,yaw_deg,depth_raw_m,yaw_raw_deg,sensors_ok,throttle_pct,mode,surge_cmd,strafe_cmd,heave_cmd,yaw_cmd,light_pwm,led_flashing,flash_frame
1785509790.1820,2026-07-31T10:56:30.182,0.046,1,,,,0,,,,,,,,0,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509790.2825,2026-07-31T10:56:30.282,0.146,2,,,,0,,,,-0.0866,-69.36,-0.0866,-789.36,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509790.3823,2026-07-31T10:56:30.382,0.246,3,,,,0,,,,-0.0841,-69.45,-0.0841,-789.45,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509790.4816,2026-07-31T10:56:30.481,0.345,4,,,,0,,,,-0.0798,-70.50,-0.0798,-790.50,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509790.5813,2026-07-31T10:56:30.581,0.445,5,,,,0,,,,-0.0826,-71.02,-0.0826,-791.02,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509790.6803,2026-07-31T10:56:30.680,0.544,6,,,,0,,,,-0.0790,-72.68,-0.0790,-792.68,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509790.7792,2026-07-31T10:56:30.779,0.643,7,,,,0,,,,-0.0795,-73.65,-0.0795,-793.65,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509790.8783,2026-07-31T10:56:30.878,0.742,8,,,,0,,,,-0.0828,-76.05,-0.0828,-796.05,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509790.9774,2026-07-31T10:56:30.977,0.841,9,,,,0,,,,-0.0759,-77.34,-0.0759,-797.34,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509791.0761,2026-07-31T10:56:31.076,0.940,10,,,,0,,,,-0.0777,-78.24,-0.0777,-798.24,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509791.1752,2026-07-31T10:56:31.175,1.039,11,,,,0,,,,-0.0765,-79.83,-0.0765,-799.83,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509791.2742,2026-07-31T10:56:31.274,1.138,12,,,,0,,,,-0.0757,-80.53,-0.0757,-800.53,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509791.3735,2026-07-31T10:56:31.373,1.237,13,,,,0,,,,-0.0786,-81.50,-0.0786,-801.50,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509791.4725,2026-07-31T10:56:31.472,1.336,14,,,,0,,,,-0.0766,-81.65,-0.0766,-801.65,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509791.5713,2026-07-31T10:56:31.571,1.435,15,,,,0,,,,-0.0729,-81.70,-0.0729,-801.70,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509791.6704,2026-07-31T10:56:31.670,1.534,16,,,,0,,,,-0.0728,-81.06,-0.0728,-801.06,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509791.7694,2026-07-31T10:56:31.769,1.633,17,,,,0,,,,-0.0752,-80.28,-0.0752,-800.28,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509791.8685,2026-07-31T10:56:31.868,1.732,18,,,,0,,,,-0.0734,-79.00,-0.0734,-799.00,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509791.9684,2026-07-31T10:56:31.968,1.832,19,,,,0,,,,-0.0711,-79.07,-0.0711,-799.07,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509792.0682,2026-07-31T10:56:32.068,1.932,20,,,,0,,,,-0.0728,-79.16,-0.0728,-799.16,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
1785509792.1683,2026-07-31T10:56:32.168,2.032,21,,,,0,,,,-0.0709,-78.91,-0.0709,-798.91,1,20.0,idle,+0.000,+0.000,+0.000,+0.000,1100,0,
